Sequence|Question|Options|Answer
1|憲法第171條第1項規定：「法律與憲法牴觸者無效。」；憲法第172條規定：「命令與憲法或法律牴觸者無效。」請問：從這兩條規定可以直接推導出下列何項敘述？|憲法僅是原則性的規定|0
1|憲法第171條第1項規定：「法律與憲法牴觸者無效。」；憲法第172條規定：「命令與憲法或法律牴觸者無效。」請問：從這兩條規定可以直接推導出下列何項敘述？|憲法的內容具有多種解釋的可能|0
1|憲法第171條第1項規定：「法律與憲法牴觸者無效。」；憲法第172條規定：「命令與憲法或法律牴觸者無效。」請問：從這兩條規定可以直接推導出下列何項敘述？|憲法為最高的法規範|1
1|憲法第171條第1項規定：「法律與憲法牴觸者無效。」；憲法第172條規定：「命令與憲法或法律牴觸者無效。」請問：從這兩條規定可以直接推導出下列何項敘述？|憲法具有高度政治性|0
2|下列敘述何者正確？|憲法保障土地私有制度，土地所有權人自得自由處分其土地之地下水|0
2|下列敘述何者正確？|附著於土地之礦藏屬於土地所有權人所有，但地下水則不屬之|0
2|下列敘述何者正確？|附著於土地之礦藏屬於國家所有，但地下水與可供公眾使用之天然力則不屬之|0
2|下列敘述何者正確？|附著於土地之礦及經濟上可供公眾利用之天然力，均屬於國家所有，不因人民取得土地所有權而受影響|1
3|下列敘述何者錯誤？|女性之參政權，國家應特別予以保障|0
3|下列敘述何者錯誤？|女性應考試之權利，國家應特別予以保障|1
3|下列敘述何者錯誤？|國家應保障婦女之人身安全|0
3|下列敘述何者錯誤？|國家應維護婦女之人格尊嚴|0
4|依司法院釋字第585號解釋，民國93年9月24日公布施行之「三一九槍擊事件真相調查特別委員會條例」第8條第1項前段「三一九槍擊事件所涉及之刑事責任案件，其偵查專屬本會管轄」、同條第2項「本會於行使前項職權，有檢察官、軍事檢察官依據法律所得行使之權限」與第13條第1項「本會調查結果，如有涉及刑事責任者，由調用之檢察官或軍事檢察官逕行起訴」等規定，逾越立法院何種職權所得行使之範圍？|否決權|0
4|依司法院釋字第585號解釋，民國93年9月24日公布施行之「三一九槍擊事件真相調查特別委員會條例」第8條第1項前段「三一九槍擊事件所涉及之刑事責任案件，其偵查專屬本會管轄」、同條第2項「本會於行使前項職權，有檢察官、軍事檢察官依據法律所得行使之權限」與第13條第1項「本會調查結果，如有涉及刑事責任者，由調用之檢察官或軍事檢察官逕行起訴」等規定，逾越立法院何種職權所得行使之範圍？|預算權|0
4|依司法院釋字第585號解釋，民國93年9月24日公布施行之「三一九槍擊事件真相調查特別委員會條例」第8條第1項前段「三一九槍擊事件所涉及之刑事責任案件，其偵查專屬本會管轄」、同條第2項「本會於行使前項職權，有檢察官、軍事檢察官依據法律所得行使之權限」與第13條第1項「本會調查結果，如有涉及刑事責任者，由調用之檢察官或軍事檢察官逕行起訴」等規定，逾越立法院何種職權所得行使之範圍？|同意權|0
4|依司法院釋字第585號解釋，民國93年9月24日公布施行之「三一九槍擊事件真相調查特別委員會條例」第8條第1項前段「三一九槍擊事件所涉及之刑事責任案件，其偵查專屬本會管轄」、同條第2項「本會於行使前項職權，有檢察官、軍事檢察官依據法律所得行使之權限」與第13條第1項「本會調查結果，如有涉及刑事責任者，由調用之檢察官或軍事檢察官逕行起訴」等規定，逾越立法院何種職權所得行使之範圍？|調查權|1
5|限制人民基本權利的行政命令，雖然經法律授權，但如果超出授權的範圍，係屬牴觸下列那個憲法原則？|比例原則|0
5|限制人民基本權利的行政命令，雖然經法律授權，但如果超出授權的範圍，係屬牴觸下列那個憲法原則？|信賴保護原則|0
5|限制人民基本權利的行政命令，雖然經法律授權，但如果超出授權的範圍，係屬牴觸下列那個憲法原則？|法律保留原則|1
5|限制人民基本權利的行政命令，雖然經法律授權，但如果超出授權的範圍，係屬牴觸下列那個憲法原則？|平等原則|0
6|財政部以甲欠稅為由，限制其出境。請問上開決定限制甲的何種基本權？|遷徙自由|1
6|財政部以甲欠稅為由，限制其出境。請問上開決定限制甲的何種基本權？|人身自由|0
6|財政部以甲欠稅為由，限制其出境。請問上開決定限制甲的何種基本權？|財產權|0
6|財政部以甲欠稅為由，限制其出境。請問上開決定限制甲的何種基本權？|平等權|0
7|我國現行的罷免制度，下列何者正確？|罷免制度為孫文先生所獨創，不見其他任何國家採取類似制度|0
7|我國現行的罷免制度，下列何者正確？|司法院解釋認為，原選區選民得針對其選區立委，就其依職權所為的言論及表決行為，進行罷免|1
7|我國現行的罷免制度，下列何者正確？|我國憲法所規定的代表制完全符合自由委任制的設計|0
7|我國現行的罷免制度，下列何者正確？|罷免制度是選民控制其代表所不可或缺的制度，普遍見於民主國家之憲法|0
8|訴願法第47條第3項準用行政訴訟法第73條，關於寄存送達於依法送達完畢時，即生送達效力之規定，依司法院解釋意旨，下列那一選項正確？|該規定侵害人民訴訟權核心|0
8|訴願法第47條第3項準用行政訴訟法第73條，關於寄存送達於依法送達完畢時，即生送達效力之規定，依司法院解釋意旨，下列那一選項正確？|該規定與憲法第16條保障人民訴願及訴訟權之意旨無違|1
8|訴願法第47條第3項準用行政訴訟法第73條，關於寄存送達於依法送達完畢時，即生送達效力之規定，依司法院解釋意旨，下列那一選項正確？|該規定與憲法第16條保障人民訴願及訴訟權之意旨無關|0
8|訴願法第47條第3項準用行政訴訟法第73條，關於寄存送達於依法送達完畢時，即生送達效力之規定，依司法院解釋意旨，下列那一選項正確？|該規定違反平等原則|0
9|下列何者不符合憲法有關教育規定之精神？|國家對於大學之監督，依憲法第162條規定，應以法律為之，但仍應符合大學自治之原則|0
