Sequence|Question|Options|Answer
1|甲對乙說：如不贈以別墅乙幢，將告發其走私之事，乙被迫贈送，其行為：|有效|0
1|甲對乙說：如不贈以別墅乙幢，將告發其走私之事，乙被迫贈送，其行為：|無效|0
1|甲對乙說：如不贈以別墅乙幢，將告發其走私之事，乙被迫贈送，其行為：|得撤銷|1
1|甲對乙說：如不贈以別墅乙幢，將告發其走私之事，乙被迫贈送，其行為：|效力未定|0
2|甲在乙圖書公司購買A名著，尚未翻閱即將之借予友人丙，丙在A書中發現夾有一紙不知為何人所放置之千元大鈔。試問：該鈔之所有權屬於何人？|甲|0
2|甲在乙圖書公司購買A名著，尚未翻閱即將之借予友人丙，丙在A書中發現夾有一紙不知為何人所放置之千元大鈔。試問：該鈔之所有權屬於何人？|乙|0
2|甲在乙圖書公司購買A名著，尚未翻閱即將之借予友人丙，丙在A書中發現夾有一紙不知為何人所放置之千元大鈔。試問：該鈔之所有權屬於何人？|丙|0
2|甲在乙圖書公司購買A名著，尚未翻閱即將之借予友人丙，丙在A書中發現夾有一紙不知為何人所放置之千元大鈔。試問：該鈔之所有權屬於何人？|甲、丙共有|1
3|下列關於善意占有人之敘述，何者正確？|善意占有人就占有物之滅失或毀損，如係因可歸責於自己之事由所致者，對於回復請求人所受之損害，均負賠償之責|0
3|下列關於善意占有人之敘述，何者正確？|善意占有人因保存占有物所支出之必要費用，不得向回復請求人請求償還|0
3|下列關於善意占有人之敘述，何者正確？|善意占有人為無權占有人，但自確知其無占有本權時起，為惡意占有人|1
3|下列關於善意占有人之敘述，何者正確？|善意占有人於本權訴訟敗訴時，自判決確定之日起，視為惡意占有人|0
4|甲男乙女婚後育有一子丙，一日共同出遊，發生車禍，甲乙當場死亡，乙以遺囑指定由其母丁擔任監護人。甲母戊不服，主張丙長期與其同住，應有優先順序，有理否？|無理，應以遺囑優先|1
4|甲男乙女婚後育有一子丙，一日共同出遊，發生車禍，甲乙當場死亡，乙以遺囑指定由其母丁擔任監護人。甲母戊不服，主張丙長期與其同住，應有優先順序，有理否？|無理，因為同為祖父母|0
4|甲男乙女婚後育有一子丙，一日共同出遊，發生車禍，甲乙當場死亡，乙以遺囑指定由其母丁擔任監護人。甲母戊不服，主張丙長期與其同住，應有優先順序，有理否？|有理，因為丙與戊同居|0
4|甲男乙女婚後育有一子丙，一日共同出遊，發生車禍，甲乙當場死亡，乙以遺囑指定由其母丁擔任監護人。甲母戊不服，主張丙長期與其同住，應有優先順序，有理否？|有理，為丙之最佳利益|0
