Sequence|Question|Options|Answer
1|我國人甲早年赴新加坡設立A公司從事皮革貿易創業有成，現擬以臺灣為A公司全球化布局之第一個據點，下列何者不是A公司在我國境內營業的必要條件？|在中華民國境內指定其訴訟及非訴訟之代理人|0
1|我國人甲早年赴新加坡設立A公司從事皮革貿易創業有成，現擬以臺灣為A公司全球化布局之第一個據點，下列何者不是A公司在我國境內營業的必要條件？|經中華民國政府認許，並辦理分公司登記|0
1|我國人甲早年赴新加坡設立A公司從事皮革貿易創業有成，現擬以臺灣為A公司全球化布局之第一個據點，下列何者不是A公司在我國境內營業的必要條件？|專撥在中華民國境內營業所用之資金|0
1|我國人甲早年赴新加坡設立A公司從事皮革貿易創業有成，現擬以臺灣為A公司全球化布局之第一個據點，下列何者不是A公司在我國境內營業的必要條件？|在中華民國境內設代表人辦事處|1
2|X股份有限公司為一家實收資本額1億元之非公開發行公司，每屆會計年度終了時，X公司之董事會即開始編造決算書表提請股東常會承認。試問，以下敘述何者錯誤？|X公司之財務報表在董事會提請股東常會承認前，須先經過會計師查核簽證|0
2|X股份有限公司為一家實收資本額1億元之非公開發行公司，每屆會計年度終了時，X公司之董事會即開始編造決算書表提請股東常會承認。試問，以下敘述何者錯誤？|X公司如擬委任會計師查核簽證財務報表，則該會計師之委任及報酬之決定係由董事長為之|1
2|X股份有限公司為一家實收資本額1億元之非公開發行公司，每屆會計年度終了時，X公司之董事會即開始編造決算書表提請股東常會承認。試問，以下敘述何者錯誤？|主管機關對於X公司董事會所編造之決算書表得隨時派員查核|0
2|X股份有限公司為一家實收資本額1億元之非公開發行公司，每屆會計年度終了時，X公司之董事會即開始編造決算書表提請股東常會承認。試問，以下敘述何者錯誤？|X公司董事會如未依法編造決算書表提請股東會承認，董事將有可能面臨行政罰鍰之處罰|0
3|甲公司為乙公司之控制公司，甲公司多次向乙公司借款，其金額共計新臺幣2億元，未計任何利息，未設定任何擔保，且未定清償期，乙公司因此虧損約新臺幣500萬元，經查乙公司該年度並無任何其他虧損。甲公司也未曾給予乙公司任何補償。請問，下列提起訴訟之人及其請求何者符合公司法第369條之4之規定？|乙公司之債權人A，請求甲公司向乙公司賠償乙公司之虧損500萬元|1
3|甲公司為乙公司之控制公司，甲公司多次向乙公司借款，其金額共計新臺幣2億元，未計任何利息，未設定任何擔保，且未定清償期，乙公司因此虧損約新臺幣500萬元，經查乙公司該年度並無任何其他虧損。甲公司也未曾給予乙公司任何補償。請問，下列提起訴訟之人及其請求何者符合公司法第369條之4之規定？|乙公司之股東B，請求甲公司向自己賠償其因而未受分配之盈餘5萬元|0
3|甲公司為乙公司之控制公司，甲公司多次向乙公司借款，其金額共計新臺幣2億元，未計任何利息，未設定任何擔保，且未定清償期，乙公司因此虧損約新臺幣500萬元，經查乙公司該年度並無任何其他虧損。甲公司也未曾給予乙公司任何補償。請問，下列提起訴訟之人及其請求何者符合公司法第369條之4之規定？|乙公司之股東C，請求甲公司向乙公司全體股東賠償其因而未受分配之盈餘500萬元|0
3|甲公司為乙公司之控制公司，甲公司多次向乙公司借款，其金額共計新臺幣2億元，未計任何利息，未設定任何擔保，且未定清償期，乙公司因此虧損約新臺幣500萬元，經查乙公司該年度並無任何其他虧損。甲公司也未曾給予乙公司任何補償。請問，下列提起訴訟之人及其請求何者符合公司法第369條之4之規定？|乙公司之經理D，請求甲公司向乙公司全體員工賠償其因而未受分配之紅利500萬元|0
4|A股份有限公司章程所訂資本額為10億股，實際已發行股份總數為5億股，為籌措其對大陸之投資資金，預計再發行3億新股。下列何者正確？|此項發行新股事宜應經股東會之特別決議|0
