Sequence|Question|Options|Answer
1|甲駕車於省公路上，遭騎乘巡邏警用機車之警員A攔下，A以闖紅燈為由正擬開單告發甲違規；甲為免受罰，當場取出5佰元現鈔塞入A上衣口袋，期望因此避開罰單。A以金額過少為由，開口索取1仟元，但遭甲拒絕。A因已收有5佰元之故，遂僅開立事由為「未帶駕照」而罰鍰較輕之違規單交甲簽收。甲於簽收後，憤怒不已，當場撕毀該交通違規單。有關本案中甲之所為，下列敘述，何者正確？|甲對於公務員A關於其違背職務之行為，交付現金5佰元之賄賂，成立刑法第122條第3項之行賄罪|1
1|甲駕車於省公路上，遭騎乘巡邏警用機車之警員A攔下，A以闖紅燈為由正擬開單告發甲違規；甲為免受罰，當場取出5佰元現鈔塞入A上衣口袋，期望因此避開罰單。A以金額過少為由，開口索取1仟元，但遭甲拒絕。A因已收有5佰元之故，遂僅開立事由為「未帶駕照」而罰鍰較輕之違規單交甲簽收。甲於簽收後，憤怒不已，當場撕毀該交通違規單。有關本案中甲之所為，下列敘述，何者正確？|甲於公務員執行職務時，施以撕毀交通違規單之強暴行為，成立刑法第135條第1項之事中妨害公務罪|0
1|甲駕車於省公路上，遭騎乘巡邏警用機車之警員A攔下，A以闖紅燈為由正擬開單告發甲違規；甲為免受罰，當場取出5佰元現鈔塞入A上衣口袋，期望因此避開罰單。A以金額過少為由，開口索取1仟元，但遭甲拒絕。A因已收有5佰元之故，遂僅開立事由為「未帶駕照」而罰鍰較輕之違規單交甲簽收。甲於簽收後，憤怒不已，當場撕毀該交通違規單。有關本案中甲之所為，下列敘述，何者正確？|甲損壞公務員職務上委託第三人掌管之文書而致令不堪用，成立刑法第138條妨害公務掌管之文物罪|0
1|甲駕車於省公路上，遭騎乘巡邏警用機車之警員A攔下，A以闖紅燈為由正擬開單告發甲違規；甲為免受罰，當場取出5佰元現鈔塞入A上衣口袋，期望因此避開罰單。A以金額過少為由，開口索取1仟元，但遭甲拒絕。A因已收有5佰元之故，遂僅開立事由為「未帶駕照」而罰鍰較輕之違規單交甲簽收。甲於簽收後，憤怒不已，當場撕毀該交通違規單。有關本案中甲之所為，下列敘述，何者正確？|甲毀壞他人文書，足生損害於國庫收入，應論以刑法第352條毀損文書罪之刑責|0
2|承上題，就警員A之刑責，下列敘述，何者錯誤？|甲將5佰元現鈔塞入A上衣口袋之際，A尚無收受賄賂之意；對此階段之行為，A之行為並不構成違背職務收賄罪|0
2|承上題，就警員A之刑責，下列敘述，何者錯誤？|A開口索取1仟元，但遭甲拒絕，其要求賄賂之目的並未達成，為刑法所不罰之賄賂未遂行為，不成立犯罪|1
2|承上題，就警員A之刑責，下列敘述，何者錯誤？|A開口索取1仟元，雖遭甲拒絕而未達期約，惟生收受5佰元賄賂之犯意並據為己有，其先行之要求行為，應為收受行為所吸收，成立收受賄賂罪|0
2|承上題，就警員A之刑責，下列敘述，何者錯誤？|A對於違背職務之行為收受5佰元賄賂，並因而為違背職務之行為，因刑法第122條第2項為第1項之加重規定，應逕按因受賄而違背職務罪處斷|0
3|下列事由，何者應減輕或免除其刑？|14歲以上未滿18歲人之行為|0
3|下列事由，何者應減輕或免除其刑？|防衛過當之行為|0
