Sequence|Question|Options|Answer
1|若堅守「不能成立直接正犯者亦不得成立間接正犯」之命題，下列何種犯罪，可能成立間接正犯？|偽證罪|0
1|若堅守「不能成立直接正犯者亦不得成立間接正犯」之命題，下列何種犯罪，可能成立間接正犯？|脫逃罪|0
1|若堅守「不能成立直接正犯者亦不得成立間接正犯」之命題，下列何種犯罪，可能成立間接正犯？|重婚罪|0
1|若堅守「不能成立直接正犯者亦不得成立間接正犯」之命題，下列何種犯罪，可能成立間接正犯？|偽造文書罪|1
2|甲擬殺A，持槍瞄準後扣動扳機射擊，未料該槍因有瑕疵而爆膛，致傷及自己的手。對甲行為之論罪，下列敘述，何者正確？|由於槍枝瑕疵致爆膛，甲之行為應成立不能未遂，不罰|0
2|甲擬殺A，持槍瞄準後扣動扳機射擊，未料該槍因有瑕疵而爆膛，致傷及自己的手。對甲行為之論罪，下列敘述，何者正確？|甲之行為是屬於自招（陷）風險之行為，排除客觀歸責之可能性|0
2|甲擬殺A，持槍瞄準後扣動扳機射擊，未料該槍因有瑕疵而爆膛，致傷及自己的手。對甲行為之論罪，下列敘述，何者正確？|甲使用之槍枝有瑕疵，可因打擊錯誤而阻卻故意|0
2|甲擬殺A，持槍瞄準後扣動扳機射擊，未料該槍因有瑕疵而爆膛，致傷及自己的手。對甲行為之論罪，下列敘述，何者正確？|甲之行為係因偶然的槍枝瑕疵，應成立障礙（普通）未遂|1
3|有關故意犯與過失犯，下列敘述，何者錯誤？|行為如非出於故意或過失，自始即無成立犯罪之可能|)
3|有關故意犯與過失犯，下列敘述，何者錯誤？|過失犯是故意犯之補充性處罰規定|0
3|有關故意犯與過失犯，下列敘述，何者錯誤？|一個行為同時侵害到數個法益時，如非全部成立故意犯，就是全部成立過失犯|1
3|有關故意犯與過失犯，下列敘述，何者錯誤？|行為如非出於故意，也不必然就成立過失犯|0
4|於公海上空飛往我國之泰國所屬航空器上，兩位泰國旅客甲與A發生衝突，甲憤而將A打成重傷，於航空器降落我國機場後，航空站立即派救護車將A送醫，但A仍不治死亡。下列敘述，何者正確？|由於行為並非發生於我國領域內，我國法院對甲不得行使審判權|0
4|於公海上空飛往我國之泰國所屬航空器上，兩位泰國旅客甲與A發生衝突，甲憤而將A打成重傷，於航空器降落我國機場後，航空站立即派救護車將A送醫，但A仍不治死亡。下列敘述，何者正確？|由於行為人甲與被害人A均非我國人民，我國法院對甲不得行使審判權|0
4|於公海上空飛往我國之泰國所屬航空器上，兩位泰國旅客甲與A發生衝突，甲憤而將A打成重傷，於航空器降落我國機場後，航空站立即派救護車將A送醫，但A仍不治死亡。下列敘述，何者正確？|由於結果地發生於我國領域內，我國法院對甲得行使審判權|1
4|於公海上空飛往我國之泰國所屬航空器上，兩位泰國旅客甲與A發生衝突，甲憤而將A打成重傷，於航空器降落我國機場後，航空站立即派救護車將A送醫，但A仍不治死亡。下列敘述，何者正確？|由於事發後該航空器第一個停靠站是我國機場，我國法院對甲得行使審判權|0
5|甲想要教訓A，見到A時掄棍就打，將A打到昏迷。甲唯恐出手過重，而將A打死，遂緊急將A送醫急救，經醫師即時救治，總算僅有皮肉之傷而無致死的危險。下列敘述，何者正確？|甲攻擊A致昏迷，雖爾後有防止A死亡結果之發生，但已生傷害之結果，仍應論以傷害罪之既遂|1
5|甲想要教訓A，見到A時掄棍就打，將A打到昏迷。甲唯恐出手過重，而將A打死，遂緊急將A送醫急救，經醫師即時救治，總算僅有皮肉之傷而無致死的危險。下列敘述，何者正確？|甲雖有攻擊A之行為，但出於己意中止，並防止結果之發生，應論以中止犯|0
5|甲想要教訓A，見到A時掄棍就打，將A打到昏迷。甲唯恐出手過重，而將A打死，遂緊急將A送醫急救，經醫師即時救治，總算僅有皮肉之傷而無致死的危險。下列敘述，何者正確？|甲雖有救治A之行為，但係因恐A致死，非出於己意之中止，應論以殺人罪之未遂犯|0
5|甲想要教訓A，見到A時掄棍就打，將A打到昏迷。甲唯恐出手過重，而將A打死，遂緊急將A送醫急救，經醫師即時救治，總算僅有皮肉之傷而無致死的危險。下列敘述，何者正確？|甲雖有攻擊A致生命危險之行為，但因及時救治，根本不會發生死亡結果，應為不能犯|0
6|職業殺手甲受僱殺A，甲之計畫是將A勒昏後，將其投入河中，使其溺斃企圖誤導案情。但甲誤將長相酷似A之B勒昏，於投河時，因撞及水中尖銳石頭而死亡。對甲行為之論罪，下列敘述何者正確？|甲得因客體錯誤而阻卻故意|0
6|職業殺手甲受僱殺A，甲之計畫是將A勒昏後，將其投入河中，使其溺斃企圖誤導案情。但甲誤將長相酷似A之B勒昏，於投河時，因撞及水中尖銳石頭而死亡。對甲行為之論罪，下列敘述何者正確？|甲基於等價的客體錯誤及非重大偏誤（離）的因果歷程錯誤，不阻卻故意|1
6|職業殺手甲受僱殺A，甲之計畫是將A勒昏後，將其投入河中，使其溺斃企圖誤導案情。但甲誤將長相酷似A之B勒昏，於投河時，因撞及水中尖銳石頭而死亡。對甲行為之論罪，下列敘述何者正確？|甲得因打擊錯誤而阻卻故意|0
6|職業殺手甲受僱殺A，甲之計畫是將A勒昏後，將其投入河中，使其溺斃企圖誤導案情。但甲誤將長相酷似A之B勒昏，於投河時，因撞及水中尖銳石頭而死亡。對甲行為之論罪，下列敘述何者正確？|甲得因因果歷程錯誤而阻卻故意|0
7|議員甲與市長乙交惡，屢次批評乙不應在公園大門落款市長姓名。某日甲僱工將公園大門拆除，拆除工人誤信有合法依據而將大門拆除。甲所為，依實務見解應屬：|毀損罪之教唆犯|0
7|議員甲與市長乙交惡，屢次批評乙不應在公園大門落款市長姓名。某日甲僱工將公園大門拆除，拆除工人誤信有合法依據而將大門拆除。甲所為，依實務見解應屬：|毀損罪之共同正犯|0
7|議員甲與市長乙交惡，屢次批評乙不應在公園大門落款市長姓名。某日甲僱工將公園大門拆除，拆除工人誤信有合法依據而將大門拆除。甲所為，依實務見解應屬：|毀損罪之幫助犯|0
7|議員甲與市長乙交惡，屢次批評乙不應在公園大門落款市長姓名。某日甲僱工將公園大門拆除，拆除工人誤信有合法依據而將大門拆除。甲所為，依實務見解應屬：|毀損罪之間接正犯|1
8|甲一次偽造A為發票人的支票2張，面額各是3萬元與5萬元，甲復持向銀行提示而取得8萬元。依實務見解，下列有關甲之行為的論罪，何者錯誤？|甲一次偽造支票2張，為一行為觸犯兩個偽造有價證券罪之想像競合|1
8|甲一次偽造A為發票人的支票2張，面額各是3萬元與5萬元，甲復持向銀行提示而取得8萬元。依實務見解，下列有關甲之行為的論罪，何者錯誤？|甲偽造有價證券復持以行使，其行使行為吸收於偽造行為之中，只論以偽造有價證券罪|0
8|甲一次偽造A為發票人的支票2張，面額各是3萬元與5萬元，甲復持向銀行提示而取得8萬元。依實務見解，下列有關甲之行為的論罪，何者錯誤？|有價證券內所蓋之印文為構成證券之一部，包括於偽造罪內，不生想像競合問題|0
8|甲一次偽造A為發票人的支票2張，面額各是3萬元與5萬元，甲復持向銀行提示而取得8萬元。依實務見解，下列有關甲之行為的論罪，何者錯誤？|行使偽造有價證券並取得票面價額，不另外成立詐欺取財罪|0
9|依實務見解，下列何者屬於接續犯？|甲竊取A車內之音響後，不知何因將其全部砸毀|0
9|依實務見解，下列何者屬於接續犯？|甲於2月1日竊取A車內之音響，再於2月5日竊取B車上的行車記錄器|0
9|依實務見解，下列何者屬於接續犯？|甲於同一時間、地點先偷竊A財物、後又搶奪B財物|0
9|依實務見解，下列何者屬於接續犯？|甲於無人看守之停車場內，先偷A車內之音響，接著再偷A車上的行車記錄器|1
10|甲偷刻A的印章，又冒用該印章，用以偽造借據，持之向B借得10萬元，下列何者不應予宣告沒收？|印章|0
10|甲偷刻A的印章，又冒用該印章，用以偽造借據，持之向B借得10萬元，下列何者不應予宣告沒收？|借據|0
10|甲偷刻A的印章，又冒用該印章，用以偽造借據，持之向B借得10萬元，下列何者不應予宣告沒收？|10萬元贓款|1
10|甲偷刻A的印章，又冒用該印章，用以偽造借據，持之向B借得10萬元，下列何者不應予宣告沒收？|印文|0
11|甲是砂石車司機，因犯業務過失致死罪被判處有期徒刑4年。甲於民國90年1月1日開始服刑，到了93年2月1日假釋出獄。甲於94年4月1日再犯業務過失致人於死罪，試問下列敘述，何者正確？|甲所犯之業務過失致人於死罪構成刑法第47條之累犯，應加重其刑至二分之一|0
11|甲是砂石車司機，因犯業務過失致死罪被判處有期徒刑4年。甲於民國90年1月1日開始服刑，到了93年2月1日假釋出獄。甲於94年4月1日再犯業務過失致人於死罪，試問下列敘述，何者正確？|甲於假釋期間內犯業務過失致人於死罪，應撤銷其假釋|0
11|甲是砂石車司機，因犯業務過失致死罪被判處有期徒刑4年。甲於民國90年1月1日開始服刑，到了93年2月1日假釋出獄。甲於94年4月1日再犯業務過失致人於死罪，試問下列敘述，何者正確？|甲假釋中之業務過失致人於死罪於偵查時受到羈押，羈押期間可算入假釋期內|0
11|甲是砂石車司機，因犯業務過失致死罪被判處有期徒刑4年。甲於民國90年1月1日開始服刑，到了93年2月1日假釋出獄。甲於94年4月1日再犯業務過失致人於死罪，試問下列敘述，何者正確？|甲之假釋無須撤銷，但甲如另受有期徒刑之宣告，必須另外發監執行|1
12|癌末病人甲因情緒低落，夜深心煩，乃獨自在病床上抽煙，稍後，竟呼呼入睡，結果煙蒂燒及床單，引起醫院大火，並燒死同棟大樓之另兩位病患A、B。關於甲之刑責，下列敘述，何者正確？|失火罪與過失致死罪的法條競合|0
12|癌末病人甲因情緒低落，夜深心煩，乃獨自在病床上抽煙，稍後，竟呼呼入睡，結果煙蒂燒及床單，引起醫院大火，並燒死同棟大樓之另兩位病患A、B。關於甲之刑責，下列敘述，何者正確？|失火罪與過失致死罪的想像競合犯|1
12|癌末病人甲因情緒低落，夜深心煩，乃獨自在病床上抽煙，稍後，竟呼呼入睡，結果煙蒂燒及床單，引起醫院大火，並燒死同棟大樓之另兩位病患A、B。關於甲之刑責，下列敘述，何者正確？|失火致死罪的加重結果犯|0
12|癌末病人甲因情緒低落，夜深心煩，乃獨自在病床上抽煙，稍後，竟呼呼入睡，結果煙蒂燒及床單，引起醫院大火，並燒死同棟大樓之另兩位病患A、B。關於甲之刑責，下列敘述，何者正確？|失火罪與過失致死罪二罪併罰|0
13|甲犯殺人罪，被判處無期徒刑，並發監執行。下列有關假釋之描述，何者正確？|甲雖被判處無期徒刑，但徒刑執行20年而有悛悔實據，仍得准予假釋|0
13|甲犯殺人罪，被判處無期徒刑，並發監執行。下列有關假釋之描述，何者正確？|若甲之前曾犯強盜罪，判決有期徒刑8年。於徒刑執行完畢後5年內才再犯本次殺人罪，並被判處無期徒刑。由於甲為累犯，故應終身監禁不得假釋|0
13|甲犯殺人罪，被判處無期徒刑，並發監執行。下列有關假釋之描述，何者正確？|甲的無期徒刑經假釋後，才一出獄半年就因駕駛汽車過失致乙死亡，經檢察官以過失致人於死罪起訴，並經法院判決1年有期徒刑。其前面殺人罪無期徒刑之假釋應予以撤銷|0
13|甲犯殺人罪，被判處無期徒刑，並發監執行。下列有關假釋之描述，何者正確？|甲的無期徒刑經假釋後，滿20年而未經撤銷假釋，其未執行之刑，以已執行論|1
14|甲為翡翠水庫所屬某抽水站技工，平日負責水閘門的管控。某夜，於氣象局發布超級颱風警報後，見溪水水位不斷上漲，不但未及時洩洪，也未儘速通知媒體廣播，提醒放在堤防外車輛之車主將車子駛離該地，反而關上水閘門後即入睡，致20多輛自用轎車因不及駛離而泡水，損失嚴重。下列敘述，何者錯誤？|甲具有刑法第10條第2項公務員之身分|0
14|甲為翡翠水庫所屬某抽水站技工，平日負責水閘門的管控。某夜，於氣象局發布超級颱風警報後，見溪水水位不斷上漲，不但未及時洩洪，也未儘速通知媒體廣播，提醒放在堤防外車輛之車主將車子駛離該地，反而關上水閘門後即入睡，致20多輛自用轎車因不及駛離而泡水，損失嚴重。下列敘述，何者錯誤？|甲在職務上有即時洩洪，並通知車主移車之義務，應為而不為，顯有廢弛職務之行為|0
14|甲為翡翠水庫所屬某抽水站技工，平日負責水閘門的管控。某夜，於氣象局發布超級颱風警報後，見溪水水位不斷上漲，不但未及時洩洪，也未儘速通知媒體廣播，提醒放在堤防外車輛之車主將車子駛離該地，反而關上水閘門後即入睡，致20多輛自用轎車因不及駛離而泡水，損失嚴重。下列敘述，何者錯誤？|刑法第130條廢弛職務釀成災害罪，為結果犯，未釀成災害者，因本罪無處罰未遂犯的規定，不得以本罪相繩|0
