Sequence|Question|Options|Answer
1|甲向乙承租房屋，惟甲未能依約支付租金，計積欠租金新臺幣 10 萬元，關於乙對甲之租金給付請求權，以及因租金給付遲延而生之遲延利息請求權，依實務見解，其消滅時效期間為何？|租金給付請求權及遲延利息請求權，均為 15 年|0
1|甲向乙承租房屋，惟甲未能依約支付租金，計積欠租金新臺幣 10 萬元，關於乙對甲之租金給付請求權，以及因租金給付遲延而生之遲延利息請求權，依實務見解，其消滅時效期間為何？|租金給付請求權為 5 年，遲延利息請求權為 15 年|0
1|甲向乙承租房屋，惟甲未能依約支付租金，計積欠租金新臺幣 10 萬元，關於乙對甲之租金給付請求權，以及因租金給付遲延而生之遲延利息請求權，依實務見解，其消滅時效期間為何？|租金給付請求權為 15 年，遲延利息請求權為 5 年|0
1|甲向乙承租房屋，惟甲未能依約支付租金，計積欠租金新臺幣 10 萬元，關於乙對甲之租金給付請求權，以及因租金給付遲延而生之遲延利息請求權，依實務見解，其消滅時效期間為何？|租金給付請求權及遲延利息請求權，均為 5 年|1
2|乙未對甲授與代理權，惟甲表示其係乙之代理人，得代理乙出賣乙之汽車，乙知其情事而未為反對之表示，嗣甲代理乙，將乙之汽車出賣於善意之丙，下列敘述，何者正確？|甲代理乙與丙所訂立之汽車買賣契約當然生效|0
2|乙未對甲授與代理權，惟甲表示其係乙之代理人，得代理乙出賣乙之汽車，乙知其情事而未為反對之表示，嗣甲代理乙，將乙之汽車出賣於善意之丙，下列敘述，何者正確？|甲代理乙與丙所訂立之汽車買賣契約未成立|0
2|乙未對甲授與代理權，惟甲表示其係乙之代理人，得代理乙出賣乙之汽車，乙知其情事而未為反對之表示，嗣甲代理乙，將乙之汽車出賣於善意之丙，下列敘述，何者正確？|若丙主張乙應負授權人之責任，則甲代理乙與丙所訂立之汽車買賣契約生效|1
2|乙未對甲授與代理權，惟甲表示其係乙之代理人，得代理乙出賣乙之汽車，乙知其情事而未為反對之表示，嗣甲代理乙，將乙之汽車出賣於善意之丙，下列敘述，何者正確？|甲代理乙與丙所訂立之汽車買賣契約無效，惟若經乙承認則溯及發生效力|0
3|甲銀行於錄用乙同時，迫令乙填寫未填日期之辭呈，及授權人事單位填寫日期之授權書，俾人事單位可於其出嫁時，填入日期使之生效，此一條款之效力為：|雙方約定當然有效|0
3|甲銀行於錄用乙同時，迫令乙填寫未填日期之辭呈，及授權人事單位填寫日期之授權書，俾人事單位可於其出嫁時，填入日期使之生效，此一條款之效力為：|此一條款與契約均無效|0
3|甲銀行於錄用乙同時，迫令乙填寫未填日期之辭呈，及授權人事單位填寫日期之授權書，俾人事單位可於其出嫁時，填入日期使之生效，此一條款之效力為：|此一條款無效但契約其他部分有效|1
