Sequence|Question|Options|Answer
1|甲乙兩人為好友，決定聯合他人共同投資成立資本額新臺幣 1 千萬元之 A 股份有限公司，下列敘述何者錯誤？|A 公司採發起設立，甲以現物出資時，由簽證會計師對甲之現物出資是否合理進行查核|0
1|甲乙兩人為好友，決定聯合他人共同投資成立資本額新臺幣 1 千萬元之 A 股份有限公司，下列敘述何者錯誤？|A 公司採募集設立，甲以現物出資時，由創立會對甲之現物出資是否合理進行監督|0
1|甲乙兩人為好友，決定聯合他人共同投資成立資本額新臺幣 1 千萬元之 A 股份有限公司，下列敘述何者錯誤？|A 公司章程並未規定是否發行股票，則 A 公司董事會得決定不發行股票|0
1|甲乙兩人為好友，決定聯合他人共同投資成立資本額新臺幣 1 千萬元之 A 股份有限公司，下列敘述何者錯誤？|A 公司章程並未規定是否發行股票，則 A 公司之股東得請求發行股票，A 公司不得拒絕|1
2|甲早年自臺灣赴薩摩亞群島投資經商有成。為響應我國政府「鮭魚返鄉」政策，乃籌資新臺幣 1 億元擬於臺灣設立公司經營觀光旅遊業，並擬以「也擱發」為公司特取名稱。惟經預查結果，已有經營食品加工業之「臺灣也擱發有限公司」設立登記在案。則甲得以下列何一公司名稱在我國申請公司設立登記？|薩摩亞商也擱發股份有限公司|0
2|甲早年自臺灣赴薩摩亞群島投資經商有成。為響應我國政府「鮭魚返鄉」政策，乃籌資新臺幣 1 億元擬於臺灣設立公司經營觀光旅遊業，並擬以「也擱發」為公司特取名稱。惟經預查結果，已有經營食品加工業之「臺灣也擱發有限公司」設立登記在案。則甲得以下列何一公司名稱在我國申請公司設立登記？|新也擱發股份有限公司|0
2|甲早年自臺灣赴薩摩亞群島投資經商有成。為響應我國政府「鮭魚返鄉」政策，乃籌資新臺幣 1 億元擬於臺灣設立公司經營觀光旅遊業，並擬以「也擱發」為公司特取名稱。惟經預查結果，已有經營食品加工業之「臺灣也擱發有限公司」設立登記在案。則甲得以下列何一公司名稱在我國申請公司設立登記？|也擱發興業股份有限公司|0
2|甲早年自臺灣赴薩摩亞群島投資經商有成。為響應我國政府「鮭魚返鄉」政策，乃籌資新臺幣 1 億元擬於臺灣設立公司經營觀光旅遊業，並擬以「也擱發」為公司特取名稱。惟經預查結果，已有經營食品加工業之「臺灣也擱發有限公司」設立登記在案。則甲得以下列何一公司名稱在我國申請公司設立登記？|也擱發旅遊股份有限公司|1
3|為健全公司發展及保障股東權益，推動公司治理，2005 年公司法修訂時新增董事候選人提名制度，以強化董事提名審查作業資訊透明度。關於此制度，下列敘述何者錯誤？|此制度適用於公開發行公司及非公開發行公司|1
3|為健全公司發展及保障股東權益，推動公司治理，2005 年公司法修訂時新增董事候選人提名制度，以強化董事提名審查作業資訊透明度。關於此制度，下列敘述何者錯誤？|採行此制度之公司，應載明於公司章程|0
3|為健全公司發展及保障股東權益，推動公司治理，2005 年公司法修訂時新增董事候選人提名制度，以強化董事提名審查作業資訊透明度。關於此制度，下列敘述何者錯誤？|持有已發行股份總數百分之一以上股份之股東，得以書面向公司提出董事候選人名單，提名人數不得超過董事應選名額|0
3|為健全公司發展及保障股東權益，推動公司治理，2005 年公司法修訂時新增董事候選人提名制度，以強化董事提名審查作業資訊透明度。關於此制度，下列敘述何者錯誤？|董事會提名董事候選人之人數，亦不得超過董事應選名額|0
4|我國公司法於民國 90 年修法時，已引進一人公司的法制，請問所謂之「一人」係指：|員工僅有一人之公司|0
4|我國公司法於民國 90 年修法時，已引進一人公司的法制，請問所謂之「一人」係指：|董事僅有一人之公司|0
4|我國公司法於民國 90 年修法時，已引進一人公司的法制，請問所謂之「一人」係指：|僅設有總經理一人之公司|0
4|我國公司法於民國 90 年修法時，已引進一人公司的法制，請問所謂之「一人」係指：|股東僅有一人之公司|1
5|某股份有限公司欲發行特別股，請問下列何種情形可能會違反公司法：|①享二倍之盈餘分派權利、且每股有二表決權|1
5|某股份有限公司欲發行特別股，請問下列何種情形可能會違反公司法：|②享二倍之盈餘分派權利、惟無表決權|0
5|某股份有限公司欲發行特別股，請問下列何種情形可能會違反公司法：|③有盈餘分派之權利、惟每股有二表決權|1
5|某股份有限公司欲發行特別股，請問下列何種情形可能會違反公司法：|④有盈餘分派之權利、但無表決權|0
6|除募集設立外，公開發行公司之所以與非公開發行公司不同，依法，其不同處何在？|資本額多寡|0
6|除募集設立外，公開發行公司之所以與非公開發行公司不同，依法，其不同處何在？|股東人數多寡|0
6|除募集設立外，公開發行公司之所以與非公開發行公司不同，依法，其不同處何在？|資本額與股東人數多寡|0
6|除募集設立外，公開發行公司之所以與非公開發行公司不同，依法，其不同處何在？|有無補辦公開發行程序|1
7|甲欲設立股份有限公司，正在研擬章程，甲希望公司能設置：①董事長 ②副董事長 ③總經理 ④監察人，請問：何者必須記載在章程中始生效力？|①董事長②副董事長|0
7|甲欲設立股份有限公司，正在研擬章程，甲希望公司能設置：①董事長 ②副董事長 ③總經理 ④監察人，請問：何者必須記載在章程中始生效力？|②副董事長③總經理|1
7|甲欲設立股份有限公司，正在研擬章程，甲希望公司能設置：①董事長 ②副董事長 ③總經理 ④監察人，請問：何者必須記載在章程中始生效力？|③總經理④監察人|0
7|甲欲設立股份有限公司，正在研擬章程，甲希望公司能設置：①董事長 ②副董事長 ③總經理 ④監察人，請問：何者必須記載在章程中始生效力？|①董事長④監察人|0
8|某股份有限公司章程載明董事會得代理出席。甲董事因移居國外，遂書面委託居住國內之股東乙經常代理出席董事會，惟未辦理登記。請問其效力如何？|有效。依公司法第 6 條規定，僅有設立登記係採登記要件主義，其他事項無須登記|0
8|某股份有限公司章程載明董事會得代理出席。甲董事因移居國外，遂書面委託居住國內之股東乙經常代理出席董事會，惟未辦理登記。請問其效力如何？|不得對抗第三人。依公司法第 12 條規定，應登記之事項未登記者，僅不得對抗第三人，並非無效|0
8|某股份有限公司章程載明董事會得代理出席。甲董事因移居國外，遂書面委託居住國內之股東乙經常代理出席董事會，惟未辦理登記。請問其效力如何？|效力未定。乙之代理行為須於完成登記之後始生效力，故登記前之代理行為僅屬效力未定|0
8|某股份有限公司章程載明董事會得代理出席。甲董事因移居國外，遂書面委託居住國內之股東乙經常代理出席董事會，惟未辦理登記。請問其效力如何？|無效。此一事項必須經過登記始生效力|1
9|X 公司為一家公開發行股票公司，於某次股東會中以特別決議方式變更章程，而變更章程之內容均涉及到公司機關間之權限劃分問題。試問：以下選項中那一個章程內容係違反公司法規定而無效？|X 公司每年度之盈餘分派，授權董事會在盈餘分派可能範圍內，於年利率 1.5%至 3%之間決定其金額|0
9|X 公司為一家公開發行股票公司，於某次股東會中以特別決議方式變更章程，而變更章程之內容均涉及到公司機關間之權限劃分問題。試問：以下選項中那一個章程內容係違反公司法規定而無效？|X 公司董事之報酬由董事會逕行決定之|1
9|X 公司為一家公開發行股票公司，於某次股東會中以特別決議方式變更章程，而變更章程之內容均涉及到公司機關間之權限劃分問題。試問：以下選項中那一個章程內容係違反公司法規定而無效？|X 公司所擬從事之交易行為中，金額超過新臺幣 1 億元者，須事先取得股東會普通決議之同意後始得為之|0
9|X 公司為一家公開發行股票公司，於某次股東會中以特別決議方式變更章程，而變更章程之內容均涉及到公司機關間之權限劃分問題。試問：以下選項中那一個章程內容係違反公司法規定而無效？|X 公司董監事選舉方式採用全額連記法|0
10|甲股東持有非公開發行之 A 股份有限公司有表決權之發行股份總數 1.5%，乙股東持有 A 股份有限公司有表決權之發行股份總數 2.4%。甲乙皆委託自然人丙參加 A 公司之股東常會，請問丙所代理之表決權該如何計算？|丙不得同時受二股東之委託，故其代理之發行股份總數表決權 3.9%全部不予計算|0
10|甲股東持有非公開發行之 A 股份有限公司有表決權之發行股份總數 1.5%，乙股東持有 A 股份有限公司有表決權之發行股份總數 2.4%。甲乙皆委託自然人丙參加 A 公司之股東常會，請問丙所代理之表決權該如何計算？|丙可同時受二股東委託，其代理之發行股份總數表決權 3.9%全部予以計算|0
10|甲股東持有非公開發行之 A 股份有限公司有表決權之發行股份總數 1.5%，乙股東持有 A 股份有限公司有表決權之發行股份總數 2.4%。甲乙皆委託自然人丙參加 A 公司之股東常會，請問丙所代理之表決權該如何計算？|丙可同時受二股東委託，但其代理之表決權不得超過已發行股份總數表決權之 3%，超過部分不予計算|1
10|甲股東持有非公開發行之 A 股份有限公司有表決權之發行股份總數 1.5%，乙股東持有 A 股份有限公司有表決權之發行股份總數 2.4%。甲乙皆委託自然人丙參加 A 公司之股東常會，請問丙所代理之表決權該如何計算？|丙不得同時受二股東之委託，但事先向 A 公司申報，表決權即可全部計算|0
11|A 股份有限公司為一上市公司，因不當之轉投資致其資金週轉不靈，有停業之虞，下列敘述何者正確？|A 公司之任一股東得向法院聲請重整|0
11|A 股份有限公司為一上市公司，因不當之轉投資致其資金週轉不靈，有停業之虞，下列敘述何者正確？|購買 A 公司所發行公司債之任一投資人得向法院聲請重整|0
11|A 股份有限公司為一上市公司，因不當之轉投資致其資金週轉不靈，有停業之虞，下列敘述何者正確？|經 A 公司之董事會之特別決議得向法院聲請重整|1
11|A 股份有限公司為一上市公司，因不當之轉投資致其資金週轉不靈，有停業之虞，下列敘述何者正確？|經 A 公司之股東會之特別決議得向法院聲請重整|0
12|自然人甲、乙均為中華民國之國民，二人合資於開曼群島依當地法律設立 A 股份有限公司，經我國認許後設立臺北分公司在臺營業，惟因經營不善，導致虧損連連，債臺高築。今債權人丙以 A 股份有限公司臺北分公司為被告，訴請臺灣臺北地方法院判決被告償還新臺幣 250 萬元整之債款，獲勝訴判決確定。試問丙可持該確定判決，聲請法院對下列何項財產執行之？|法理上，只能對 A 公司臺北分公司之全部財產執行之|0
12|自然人甲、乙均為中華民國之國民，二人合資於開曼群島依當地法律設立 A 股份有限公司，經我國認許後設立臺北分公司在臺營業，惟因經營不善，導致虧損連連，債臺高築。今債權人丙以 A 股份有限公司臺北分公司為被告，訴請臺灣臺北地方法院判決被告償還新臺幣 250 萬元整之債款，獲勝訴判決確定。試問丙可持該確定判決，聲請法院對下列何項財產執行之？|法理上，得就 A 公司之本公司、臺北分公司及其他分公司之全部財產執行之|1
12|自然人甲、乙均為中華民國之國民，二人合資於開曼群島依當地法律設立 A 股份有限公司，經我國認許後設立臺北分公司在臺營業，惟因經營不善，導致虧損連連，債臺高築。今債權人丙以 A 股份有限公司臺北分公司為被告，訴請臺灣臺北地方法院判決被告償還新臺幣 250 萬元整之債款，獲勝訴判決確定。試問丙可持該確定判決，聲請法院對下列何項財產執行之？|若 A 公司之全部財產不足清償時，甲、乙應依出資比例承擔補充責任，此時即可對甲、乙之財產執行之|0
12|自然人甲、乙均為中華民國之國民，二人合資於開曼群島依當地法律設立 A 股份有限公司，經我國認許後設立臺北分公司在臺營業，惟因經營不善，導致虧損連連，債臺高築。今債權人丙以 A 股份有限公司臺北分公司為被告，訴請臺灣臺北地方法院判決被告償還新臺幣 250 萬元整之債款，獲勝訴判決確定。試問丙可持該確定判決，聲請法院對下列何項財產執行之？|甲、乙應與 A 公司負連帶責任，故無論 A 公司之全部財產是否足以清償，均可對甲、乙之財產執行之|0
13|A 電腦股份有限公司為一專業筆記型電腦製造及行銷商，為落實客戶導向，避免代工與自有品牌業務衝突，遂於 2 年前由 A 公司出資新臺幣（下同）70 萬元整，A 公司大股東甲出資 30 萬元整，共同設立 B 有限公司，並將代工部門移至 B 公司經營。為因應景氣變遷，A 公司近期擬使 B 公司與同業代工廠商 C 股份有限公司合併，以強化整體市場競爭力。下列敘述何者正確？|如擬以吸收合併方式進行本案，A 公司應採 C（消滅）公司併入 B（存續）公司之方式為之|0
13|A 電腦股份有限公司為一專業筆記型電腦製造及行銷商，為落實客戶導向，避免代工與自有品牌業務衝突，遂於 2 年前由 A 公司出資新臺幣（下同）70 萬元整，A 公司大股東甲出資 30 萬元整，共同設立 B 有限公司，並將代工部門移至 B 公司經營。為因應景氣變遷，A 公司近期擬使 B 公司與同業代工廠商 C 股份有限公司合併，以強化整體市場競爭力。下列敘述何者正確？|B 公司之股東會僅需出資超過資本總額 2/3 之同意，即可通過本合併案|0
