Sequence|Question|Options|Answer
1|甲所經營之汽車修理廠前之唯一巷道通路，因被 A 搭建之鐵皮圍籬阻隔，雙方衝突不斷，甲憤而持鐵鎚等工具將之拆除。試問甲之行為應如何論處？|成立刑法第 353 條之毀壞建築物罪|0
1|甲所經營之汽車修理廠前之唯一巷道通路，因被 A 搭建之鐵皮圍籬阻隔，雙方衝突不斷，甲憤而持鐵鎚等工具將之拆除。試問甲之行為應如何論處？|成立刑法第 354 條之毀損器物罪|1
1|甲所經營之汽車修理廠前之唯一巷道通路，因被 A 搭建之鐵皮圍籬阻隔，雙方衝突不斷，甲憤而持鐵鎚等工具將之拆除。試問甲之行為應如何論處？|成立刑法第 305 條之恐嚇危害安全罪|0
1|甲所經營之汽車修理廠前之唯一巷道通路，因被 A 搭建之鐵皮圍籬阻隔，雙方衝突不斷，甲憤而持鐵鎚等工具將之拆除。試問甲之行為應如何論處？|因屬民法上之自助行為，甲無罪|0
2|以下何者，不構成侵害墳墓屍體罪？|因為仇恨鞭打遺骨|0
2|以下何者，不構成侵害墳墓屍體罪？|挖掘史前人類古墳|1
2|以下何者，不構成侵害墳墓屍體罪？|因為癖好姦淫屍體|0
2|以下何者，不構成侵害墳墓屍體罪？|盜取墓穴中安放屍體之棺木用以燃燒取暖|0
3|甲得到 A 之同意，以 A 之名義簽發一張本票，依實務見解，甲應如何論罪？|無罪|1
3|甲得到 A 之同意，以 A 之名義簽發一張本票，依實務見解，甲應如何論罪？|偽造有價證券罪|0
3|甲得到 A 之同意，以 A 之名義簽發一張本票，依實務見解，甲應如何論罪？|偽造私文書罪|0
3|甲得到 A 之同意，以 A 之名義簽發一張本票，依實務見解，甲應如何論罪？|偽造署押罪|0
4|有關誣告罪成立要件及其適用之理解，下列敘述何者錯誤？|為削弱商業對手之 A 公司競爭力，向該管檢察官誣告 A 公司逃漏營業稅，應構成誣告罪|0
4|有關誣告罪成立要件及其適用之理解，下列敘述何者錯誤？|誣告行為，以虛偽之申告達於該管公務員時，罪即成立，縱於事後有撤回之舉，亦僅屬犯罪既遂後之息事行為|0
4|有關誣告罪成立要件及其適用之理解，下列敘述何者錯誤？|由於誣告罪之設，乃用以保護國家審判權及懲戒權，故先後、分別向數機關，就同一虛構事實而為數次之舉報，仍僅成立一誣告罪|0
4|有關誣告罪成立要件及其適用之理解，下列敘述何者錯誤？|成立誣告罪，以所告事實完全屬虛偽為必要，倘有局部為真，自難指其具有明知為偽而猶為構陷之故意|1
5|甲為戶政事務所公務員，惟工作態度不佳，屢受民眾抱怨，並影響該公務機關之親民形象，造成該戶政事務所主管 A 莫大困擾。A 為了改善甲之工作情緒，在事務所公開承諾甲若不再受到民眾投訴，將自掏腰包給予 3 萬元獎勵。甲果然因此改變工作態度，並因而取得 A 之 3 萬元紅包。試問甲之行為，應如何評價？|甲為公務員，其廉潔性與工作情操應被期待，不應該因為職務行為而獲取金錢，甲成立刑法第 121條第 1 項不違背職務賄賂罪|0
5|甲為戶政事務所公務員，惟工作態度不佳，屢受民眾抱怨，並影響該公務機關之親民形象，造成該戶政事務所主管 A 莫大困擾。A 為了改善甲之工作情緒，在事務所公開承諾甲若不再受到民眾投訴，將自掏腰包給予 3 萬元獎勵。甲果然因此改變工作態度，並因而取得 A 之 3 萬元紅包。試問甲之行為，應如何評價？|該 3 萬元紅包應可解釋為賄賂以外之其他不正利益，然而案例中 A 未具體要求甲為特定行為，甲不成立刑法第 121 條第 1 項不違背職務賄賂罪|0
5|甲為戶政事務所公務員，惟工作態度不佳，屢受民眾抱怨，並影響該公務機關之親民形象，造成該戶政事務所主管 A 莫大困擾。A 為了改善甲之工作情緒，在事務所公開承諾甲若不再受到民眾投訴，將自掏腰包給予 3 萬元獎勵。甲果然因此改變工作態度，並因而取得 A 之 3 萬元紅包。試問甲之行為，應如何評價？|A 雖未要求甲為違背職務之行為，然而該 3 萬元之紅包，有行為對價性，甲成立刑法第 121 條第1 項不違背職務賄賂罪|0
5|甲為戶政事務所公務員，惟工作態度不佳，屢受民眾抱怨，並影響該公務機關之親民形象，造成該戶政事務所主管 A 莫大困擾。A 為了改善甲之工作情緒，在事務所公開承諾甲若不再受到民眾投訴，將自掏腰包給予 3 萬元獎勵。甲果然因此改變工作態度，並因而取得 A 之 3 萬元紅包。試問甲之行為，應如何評價？|該 3 萬元紅包非屬賄賂，甲不成立刑法第 121 條第 1 項不違背職務賄賂罪|1
6|甲於 99 年 6 月 1 日因酒醉駕車而遭檢察官起訴，法院判處甲犯不能安全駕駛罪。以下關於緩刑之宣告，何者錯誤？|甲前無犯罪紀錄，此次犯罪受 7 月有期徒刑宣告，法官得宣告緩刑|0
6|甲於 99 年 6 月 1 日因酒醉駕車而遭檢察官起訴，法院判處甲犯不能安全駕駛罪。以下關於緩刑之宣告，何者錯誤？|甲於 98 年 1 月曾因過失致人於死罪而被判處 1 年有期徒刑，且受緩刑宣告 2 年，如今犯不能安全駕駛罪，仍得再度宣告緩刑|0
6|甲於 99 年 6 月 1 日因酒醉駕車而遭檢察官起訴，法院判處甲犯不能安全駕駛罪。以下關於緩刑之宣告，何者錯誤？|甲於 96 年 6 月曾因竊盜罪判處有期徒刑 6 月且執行完畢，如今因不能安全駕駛罪而受有期徒刑 6月宣告，仍得宣告緩刑|1
6|甲於 99 年 6 月 1 日因酒醉駕車而遭檢察官起訴，法院判處甲犯不能安全駕駛罪。以下關於緩刑之宣告，何者錯誤？|甲於 99 年 1 月因誹謗罪而被判處 60 日拘役，且以易科罰金方式執行完畢，此次不能安全駕駛罪，法官判處有期徒刑 6 月，仍得宣告緩刑|0
7|甲受聘擔任某私立中學入學考試命題委員，收受某家長 A 所致贈之紅包 10 萬元後，竟將該年度入學考試之試題卷交付 A。A 之子 B，在難度頗高且競爭激烈下，遂因此順利錄取。以下敘述，何者正確？|甲收賄而洩題，應成立刑法第 122 條第 2 項之受賄進而違背職務罪|0
7|甲受聘擔任某私立中學入學考試命題委員，收受某家長 A 所致贈之紅包 10 萬元後，竟將該年度入學考試之試題卷交付 A。A 之子 B，在難度頗高且競爭激烈下，遂因此順利錄取。以下敘述，何者正確？|甲交付應秘密之教育文書，須負刑法第 132 條所規定洩漏國防以外秘密罪之刑責|0
7|甲受聘擔任某私立中學入學考試命題委員，收受某家長 A 所致贈之紅包 10 萬元後，竟將該年度入學考試之試題卷交付 A。A 之子 B，在難度頗高且競爭激烈下，遂因此順利錄取。以下敘述，何者正確？|甲以非法之方法，使公開舉行之考試發生不正確之結果，應繩以刑法第 137 條妨害考試罪之刑責|0
7|甲受聘擔任某私立中學入學考試命題委員，收受某家長 A 所致贈之紅包 10 萬元後，竟將該年度入學考試之試題卷交付 A。A 之子 B，在難度頗高且競爭激烈下，遂因此順利錄取。以下敘述，何者正確？|甲之行為，不構成刑法瀆職罪章所規定之罪名|1
8|下列所述何者屬於準中止犯？|甲殺 A 後離去，經路人報警送醫，A 免於死|0
8|下列所述何者屬於準中止犯？|甲殺 A 後，呼叫救護車前來救治，但在救護車抵達前，A 已被警送醫救治未死|1
8|下列所述何者屬於準中止犯？|甲殺 A 後，呼叫救護車前來救治，但在救護車抵達前，A 已被路人送醫救治，卻仍因傷重致死|0
8|下列所述何者屬於準中止犯？|甲殺 A 後，心生不忍迅速急救，但 A 仍然死亡|0
9|以下何種情形，構成妨害性自主之犯罪？|用攝影機側錄鄰居更衣洗澡之情形|0
9|以下何種情形，構成妨害性自主之犯罪？|醫護人員為測體溫而將肛溫計插入 1 歲嬰兒肛門|0
9|以下何種情形，構成妨害性自主之犯罪？|醫生乘診療之機會而猥褻求醫之病患|1
9|以下何種情形，構成妨害性自主之犯罪？|用望遠鏡觀看樹林內情侶性交過程|0
10|甲以尖刀強取 A 身上之財物後，知道 A 為知名企業小開，遂將其捆綁，關在廢棄工寮，再打電話向 A 父要求 1 千萬元。下列敘述，何者正確？|甲成立刑法第 330 條第 1 項加重強盜罪|0
10|甲以尖刀強取 A 身上之財物後，知道 A 為知名企業小開，遂將其捆綁，關在廢棄工寮，再打電話向 A 父要求 1 千萬元。下列敘述，何者正確？|甲成立刑法第 330 條第 1 項加重強盜罪及刑法第 302 條第 1 項妨害自由罪，數罪併罰|0
10|甲以尖刀強取 A 身上之財物後，知道 A 為知名企業小開，遂將其捆綁，關在廢棄工寮，再打電話向 A 父要求 1 千萬元。下列敘述，何者正確？|甲成立刑法第 330 條第 1 項加重強盜罪、刑法第 302 條第 1 項妨害自由罪及刑法第 346 條第 1 項恐嚇取財罪，數罪併罰|0
10|甲以尖刀強取 A 身上之財物後，知道 A 為知名企業小開，遂將其捆綁，關在廢棄工寮，再打電話向 A 父要求 1 千萬元。下列敘述，何者正確？|甲成立刑法第 330 條第 1 項加重強盜罪及刑法第 348 條之 1 擄人勒贖罪，數罪併罰|1
11|甲乙二人均為受僱於我國籍漁船之大陸船員，因船上生活困苦，無法適應，遂於海上作業期間，謀議挾持船長，由乙捆綁船長，再由甲將該船駛往大陸後，棄船逃逸。試問甲乙二人共犯何罪？|海盜罪|0
11|甲乙二人均為受僱於我國籍漁船之大陸船員，因船上生活困苦，無法適應，遂於海上作業期間，謀議挾持船長，由乙捆綁船長，再由甲將該船駛往大陸後，棄船逃逸。試問甲乙二人共犯何罪？|準海盜罪|0
11|甲乙二人均為受僱於我國籍漁船之大陸船員，因船上生活困苦，無法適應，遂於海上作業期間，謀議挾持船長，由乙捆綁船長，再由甲將該船駛往大陸後，棄船逃逸。試問甲乙二人共犯何罪？|私行拘禁罪|1
11|甲乙二人均為受僱於我國籍漁船之大陸船員，因船上生活困苦，無法適應，遂於海上作業期間，謀議挾持船長，由乙捆綁船長，再由甲將該船駛往大陸後，棄船逃逸。試問甲乙二人共犯何罪？|強盜罪|0
12|甲因消費糾紛向某 KTV 店尋仇，乃預先以玻璃瓶裝填汽油，瓶口填塞碎棉布密封後，持至該 KTV店，用打火機點燃棉布，擲向店門外停放之汽機車，因汽油四散，該等汽機車隨之火勢大起，經消防單位及時搶救，始將火勢撲滅。試問下列敘述何者正確？|甲使用自製汽油彈作為攻擊手段係屬爆裂物，應成立刑法第 176 條準用第 173 條第 1 項之放火罪|1
12|甲因消費糾紛向某 KTV 店尋仇，乃預先以玻璃瓶裝填汽油，瓶口填塞碎棉布密封後，持至該 KTV店，用打火機點燃棉布，擲向店門外停放之汽機車，因汽油四散，該等汽機車隨之火勢大起，經消防單位及時搶救，始將火勢撲滅。試問下列敘述何者正確？|甲使用自製汽油彈作為攻擊手段並非爆裂物，應成立刑法第 173 條第 1 項之放火罪|1
12|甲因消費糾紛向某 KTV 店尋仇，乃預先以玻璃瓶裝填汽油，瓶口填塞碎棉布密封後，持至該 KTV店，用打火機點燃棉布，擲向店門外停放之汽機車，因汽油四散，該等汽機車隨之火勢大起，經消防單位及時搶救，始將火勢撲滅。試問下列敘述何者正確？|甲使用自製汽油彈作為攻擊手段係屬爆裂物，應成立刑法第 176 條準用第 175 條第 1 項之放火罪|1
12|甲因消費糾紛向某 KTV 店尋仇，乃預先以玻璃瓶裝填汽油，瓶口填塞碎棉布密封後，持至該 KTV店，用打火機點燃棉布，擲向店門外停放之汽機車，因汽油四散，該等汽機車隨之火勢大起，經消防單位及時搶救，始將火勢撲滅。試問下列敘述何者正確？|甲所使用攻擊手段縱屬爆裂物，惟其以爆裂物為放火之方法，應論以刑法第 175 條第 1 項之放火未遂罪|1
13|甲開車前往參加朋友喜宴，席間禁不起友人頻頻勸酒，多喝幾杯，喜宴結束後，呈現幾分醉意，已達不能安全駕駛的程度，但甲自認為沒有問題，仍自行開車回家。返家途中，因酒精作用，意識模糊，反應遲鈍，致擦撞機車騎士 A，A 跌倒在地，幸好當時甲的速度不快，A 僅身體多處擦傷，未造成嚴重傷害。甲應如何論罪？|僅成立刑法第 185 條之 3 不能安全駕駛罪|0
13|甲開車前往參加朋友喜宴，席間禁不起友人頻頻勸酒，多喝幾杯，喜宴結束後，呈現幾分醉意，已達不能安全駕駛的程度，但甲自認為沒有問題，仍自行開車回家。返家途中，因酒精作用，意識模糊，反應遲鈍，致擦撞機車騎士 A，A 跌倒在地，幸好當時甲的速度不快，A 僅身體多處擦傷，未造成嚴重傷害。甲應如何論罪？|僅成立刑法第 284 條過失傷害罪|0
13|甲開車前往參加朋友喜宴，席間禁不起友人頻頻勸酒，多喝幾杯，喜宴結束後，呈現幾分醉意，已達不能安全駕駛的程度，但甲自認為沒有問題，仍自行開車回家。返家途中，因酒精作用，意識模糊，反應遲鈍，致擦撞機車騎士 A，A 跌倒在地，幸好當時甲的速度不快，A 僅身體多處擦傷，未造成嚴重傷害。甲應如何論罪？|同時成立刑法第 185 條之 3 不能安全駕駛罪與刑法第 284 條過失傷害罪|1
13|甲開車前往參加朋友喜宴，席間禁不起友人頻頻勸酒，多喝幾杯，喜宴結束後，呈現幾分醉意，已達不能安全駕駛的程度，但甲自認為沒有問題，仍自行開車回家。返家途中，因酒精作用，意識模糊，反應遲鈍，致擦撞機車騎士 A，A 跌倒在地，幸好當時甲的速度不快，A 僅身體多處擦傷，未造成嚴重傷害。甲應如何論罪？|同時成立刑法第 185 條之 3 不能安全駕駛罪與刑法第 277 條故意傷害罪|0
14|刑法第 154 條第 1 項規定，「參與以犯罪為宗旨之結社者，處三年以下有期徒刑、拘役或五百元以下罰金。首謀者，處一年以上七年以下有期徒刑。」下列描述，何者正確？|本罪所處罰的結社，僅限以犯罪為宗旨的結社，當結社名稱不符犯罪目的之認定，且結社方式為公開，不能認為是以犯罪為宗旨的結社|0
14|刑法第 154 條第 1 項規定，「參與以犯罪為宗旨之結社者，處三年以下有期徒刑、拘役或五百元以下罰金。首謀者，處一年以上七年以下有期徒刑。」下列描述，何者正確？|本罪處罰參與犯罪結社行為，只要有參與行為即成立本罪，不以參與後確實實行特定犯罪為必要|1
14|刑法第 154 條第 1 項規定，「參與以犯罪為宗旨之結社者，處三年以下有期徒刑、拘役或五百元以下罰金。首謀者，處一年以上七年以下有期徒刑。」下列描述，何者正確？|本罪所謂以犯罪為宗旨是指在國內犯罪為限，如果行為人結社目的在於從事國境外的犯罪行為，則不成立本罪|0
