Sequence|Question|Options|Answer
1|國家制定法律規定雇主有防治職場性騷擾之義務，請問此一立法主要是實現受僱者基本權利之何種作用？|防禦功能|0
1|國家制定法律規定雇主有防治職場性騷擾之義務，請問此一立法主要是實現受僱者基本權利之何種作用？|給付請求功能|0
1|國家制定法律規定雇主有防治職場性騷擾之義務，請問此一立法主要是實現受僱者基本權利之何種作用？|保護義務功能|1
1|國家制定法律規定雇主有防治職場性騷擾之義務，請問此一立法主要是實現受僱者基本權利之何種作用？|程序保障功能|0
2|有關地方民意代表之學歷要求，下列何者錯誤？|立法者對此有適當裁量空間|0
2|有關地方民意代表之學歷要求，下列何者錯誤？|任何立法者所立法規範之學經歷要求，皆是增加憲法所無之限制，侵害人民參政權，應屬違憲|1
2|有關地方民意代表之學歷要求，下列何者錯誤？|立法者考慮設置學經歷門檻，應衡量國家教育普及之程度|0
2|有關地方民意代表之學歷要求，下列何者錯誤？|提高學歷要求未必能改善地方議員之問政水準|0
3|某甲經歷最高行政法院的確定終局裁判，其認為該裁判中據以裁判的行政機關「解釋令函」是違憲的，想要聲請大法官解釋。請問下列敘述，何者正確？|法官依據法律獨立審判，並不受「解釋令函」的拘束，所以不致產生裁判上適用「解釋令函」的情況|0
3|某甲經歷最高行政法院的確定終局裁判，其認為該裁判中據以裁判的行政機關「解釋令函」是違憲的，想要聲請大法官解釋。請問下列敘述，何者正確？|行政機關的「解釋令函」只是供機關內部參考，並不屬於人民可以聲請釋憲的對象|0
3|某甲經歷最高行政法院的確定終局裁判，其認為該裁判中據以裁判的行政機關「解釋令函」是違憲的，想要聲請大法官解釋。請問下列敘述，何者正確？|「解釋令函」依現今釋憲實務見解，屬於司法院大法官審理案件法第 5 條第 1 項第 2 款之「命令」，只要為確定終局裁判所援用，可以作為人民聲請釋憲的客體|1
3|某甲經歷最高行政法院的確定終局裁判，其認為該裁判中據以裁判的行政機關「解釋令函」是違憲的，想要聲請大法官解釋。請問下列敘述，何者正確？|如果法院裁判上所適用的「解釋令函」是違憲的，只能提起再審，無法聲請大法官解釋|0
4|請依據司法院大法官有關身心障礙者保護法（舊）第 37 條第 1 項前段規定：「非本法所稱視覺障礙者，不得從事按摩業。」之解釋。有關工作權之敘述，下列何者錯誤？|工作權包括人民有從事工作並有選擇職業之自由|0
4|請依據司法院大法官有關身心障礙者保護法（舊）第 37 條第 1 項前段規定：「非本法所稱視覺障礙者，不得從事按摩業。」之解釋。有關工作權之敘述，下列何者錯誤？|依司法院解釋意旨，系爭規定因未能保障視障者之工作權而違憲|1
4|請依據司法院大法官有關身心障礙者保護法（舊）第 37 條第 1 項前段規定：「非本法所稱視覺障礙者，不得從事按摩業。」之解釋。有關工作權之敘述，下列何者錯誤？|系爭規定對於非視障者職業選擇自由之限制，與憲法第 23 條比例原則不符|0
4|請依據司法院大法官有關身心障礙者保護法（舊）第 37 條第 1 項前段規定：「非本法所稱視覺障礙者，不得從事按摩業。」之解釋。有關工作權之敘述，下列何者錯誤？|系爭規定牴觸憲法第 15 條工作權之保障|0
5|承上題，依據工作權之觀點，下列何者錯誤？|知識、學位、體能等係選擇職業自由之主觀條件|0
5|承上題，依據工作權之觀點，下列何者錯誤？|選擇職業應具備之客觀條件，例如行業獨占制度|0
5|承上題，依據工作權之觀點，下列何者錯誤？|立法者欲對主觀條件加以限制，須有重要公共利益存在|0
5|承上題，依據工作權之觀點，下列何者錯誤？|選擇職業客觀條件之設定，則應以保護重要之公共利益始得為之|1
6|我國菸害防制法第 7 條第 1 項規定：菸品所含之尼古丁及焦油含量，應以中文標示於菸品容器上。菸商因此須在菸盒加註相關標示，請問：依司法院大法官解釋，上開規定直接限制菸商何種基本權？|出版自由|0
6|我國菸害防制法第 7 條第 1 項規定：菸品所含之尼古丁及焦油含量，應以中文標示於菸品容器上。菸商因此須在菸盒加註相關標示，請問：依司法院大法官解釋，上開規定直接限制菸商何種基本權？|言論自由|1
6|我國菸害防制法第 7 條第 1 項規定：菸品所含之尼古丁及焦油含量，應以中文標示於菸品容器上。菸商因此須在菸盒加註相關標示，請問：依司法院大法官解釋，上開規定直接限制菸商何種基本權？|營業自由|0
6|我國菸害防制法第 7 條第 1 項規定：菸品所含之尼古丁及焦油含量，應以中文標示於菸品容器上。菸商因此須在菸盒加註相關標示，請問：依司法院大法官解釋，上開規定直接限制菸商何種基本權？|財產權|0
7|藥事法第 66 條第 1 項規定：「藥商刊播藥物廣告時，應於刊播前將所有文字、圖畫或言詞，申請中央或直轄市衛生主管機關核准，並向傳播業者送驗核准文件……」，依司法院大法官解釋，本規定牽涉到人民基本權，下列何者不屬之？|言論自由|0
7|藥事法第 66 條第 1 項規定：「藥商刊播藥物廣告時，應於刊播前將所有文字、圖畫或言詞，申請中央或直轄市衛生主管機關核准，並向傳播業者送驗核准文件……」，依司法院大法官解釋，本規定牽涉到人民基本權，下列何者不屬之？|財產權|0
7|藥事法第 66 條第 1 項規定：「藥商刊播藥物廣告時，應於刊播前將所有文字、圖畫或言詞，申請中央或直轄市衛生主管機關核准，並向傳播業者送驗核准文件……」，依司法院大法官解釋，本規定牽涉到人民基本權，下列何者不屬之？|營業自由|0
7|藥事法第 66 條第 1 項規定：「藥商刊播藥物廣告時，應於刊播前將所有文字、圖畫或言詞，申請中央或直轄市衛生主管機關核准，並向傳播業者送驗核准文件……」，依司法院大法官解釋，本規定牽涉到人民基本權，下列何者不屬之？|平等權|1
8|依司法院解釋，有關民事妨害名譽訴訟，法官判決命加害人公開道歉是否違憲的問題，下列敘述，何者正確？|判決命加害人公開道歉沒有違憲疑慮|0
8|依司法院解釋，有關民事妨害名譽訴訟，法官判決命加害人公開道歉是否違憲的問題，下列敘述，何者正確？|判決命加害人公開道歉，如未涉及其自我羞辱等損及人性尊嚴的情事，才不牴觸比例原則|1
8|依司法院解釋，有關民事妨害名譽訴訟，法官判決命加害人公開道歉是否違憲的問題，下列敘述，何者正確？|判決命加害人公開道歉與言論自由無關|0
8|依司法院解釋，有關民事妨害名譽訴訟，法官判決命加害人公開道歉是否違憲的問題，下列敘述，何者正確？|判決命加害人公開道歉並非回復名譽的最後手段|0
9|依司法院釋字第 539 號解釋，有關「免兼庭長之人事行政行為」，下列敘述，何者錯誤？|該行為僅免除庭長之行政兼職|0
9|依司法院釋字第 539 號解釋，有關「免兼庭長之人事行政行為」，下列敘述，何者錯誤？|該行為對其擔任法官職司審判之職權無損|0
9|依司法院釋字第 539 號解釋，有關「免兼庭長之人事行政行為」，下列敘述，何者錯誤？|該行為對其既有之官等、職等、俸給有不利之影響|1
9|依司法院釋字第 539 號解釋，有關「免兼庭長之人事行政行為」，下列敘述，何者錯誤？|該行為之性質屬機關行政業務之調整|0
10|有關於大學的退學制度，下列敘述，何者正確？|大學生被退學，無法進行行政救濟|0
10|有關於大學的退學制度，下列敘述，何者正確？|退學條件屬於大學自治的範圍|1
10|有關於大學的退學制度，下列敘述，何者正確？|大學法中並無退學相關規定|0
10|有關於大學的退學制度，下列敘述，何者正確？|退學制度違憲|0
11|下列我國國民，何者不能申請登記為總統候選人？|已退役之陸軍十軍團司令|0
11|下列我國國民，何者不能申請登記為總統候選人？|在國外出生，於 15 歲時定居且設籍於國內，登記參選時為 45 歲|0
11|下列我國國民，何者不能申請登記為總統候選人？|犯罪幫派之主持人，經判刑確定者|1
11|下列我國國民，何者不能申請登記為總統候選人？|動員戡亂時期終止前，經宣告內亂罪判刑確定者|0
12|下列何者不符合憲法及憲法增修條文有關社會保險之精神？|全民健康保險法有關強制全民參加健康保險之規定|0
12|下列何者不符合憲法及憲法增修條文有關社會保險之精神？|已依法參加公、勞、農保之人員無須再加入全民健康保險|1
12|下列何者不符合憲法及憲法增修條文有關社會保險之精神？|勞工保險之被保險人死亡，其遺屬所得領取之津貼，性質上係所得替代，與依法所得繼承之遺產不同|0
12|下列何者不符合憲法及憲法增修條文有關社會保險之精神？|全民健康保險法第 27 條規定地方自治團體應補助某些被保險人之保險費|0
13|設若某甲在鄉里常白吃白喝，素行不良；導致鄉民某乙因不堪其擾而向警局檢舉甲之惡行。請問警察可否將甲強押至警局，並裁決將甲拘留於警局一週，以免甲繼續為害鄉里？|如果有命令為依據，即可|0
13|設若某甲在鄉里常白吃白喝，素行不良；導致鄉民某乙因不堪其擾而向警局檢舉甲之惡行。請問警察可否將甲強押至警局，並裁決將甲拘留於警局一週，以免甲繼續為害鄉里？|只要有法律或由法律明確授權的命令為依據，即可|0
13|設若某甲在鄉里常白吃白喝，素行不良；導致鄉民某乙因不堪其擾而向警局檢舉甲之惡行。請問警察可否將甲強押至警局，並裁決將甲拘留於警局一週，以免甲繼續為害鄉里？|如果有法律為依據，始可|0
13|設若某甲在鄉里常白吃白喝，素行不良；導致鄉民某乙因不堪其擾而向警局檢舉甲之惡行。請問警察可否將甲強押至警局，並裁決將甲拘留於警局一週，以免甲繼續為害鄉里？|不論有無法律或命令為依據，皆不可|1
14|承上題，如欲強制甲進入勞動教育處所與接受強制勞動訓練，以矯正甲之行為，該決定應由何人作成？|警察局局長|0
14|承上題，如欲強制甲進入勞動教育處所與接受強制勞動訓練，以矯正甲之行為，該決定應由何人作成？|內政部部長|0
14|承上題，如欲強制甲進入勞動教育處所與接受強制勞動訓練，以矯正甲之行為，該決定應由何人作成？|檢察官|0
14|承上題，如欲強制甲進入勞動教育處所與接受強制勞動訓練，以矯正甲之行為，該決定應由何人作成？|法官|1
